_id,geometry,map_id,name,province,district,commune,landarea_h,capital,developer,cdc_num,date_cdc,sub_decree,date_sub,cdc_status,cur_status,pre_status,com_invest,reference,referen_kh,last_updat,language,cap_inv_m,Latitude,Longitude
23,0101000020887F0000156AB6E0F64E154196F603E787E53141,19,Sihanoukville SEZ 1,Preah Sihanouk,Prey Nob,Bet Trang; Ream,1113.96,320000000,Oknha Lav Meng Khin,3479;2162,05 Sep 2007;29 June 2007,24,17-Mar-08,Operating,"Feb 2014__Infrastructure developing: building fence, roads, adminstrative building, entrance, electricity, water, and telecommunication system.",Jul 2011__Operational,18Companies,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;Sub-Decree_No_24__17.03.2008.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,28/03/2016,English,0,10.607107,103.620768
24,0101000020887F00000ECD910929971441552A067030F63141,20,Sihanoukville Port SEZ,Preah Sihanouk,Preah Sihanouk,Sangkat Mouy; Sangkat Bei,70,34000000,PAS & JBIC Loan CP-P6,502,8-Feb-08,147,2-Sep-09,Operating,Feb 2014__Infrastructure developing,Jul 2011__Under construction,1 Company,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_147__02.09.2009.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,English,0,10.645173,103.513075
25,0101000020887F00004189B946189A22415CF216D6409E3241,25,Shandong Sunshell Svay Rieng SEZ,Svay Rieng,Bavet,Prey Angkunh,96.14,36709800,Mrs. Zhou Yong,607/13,27-Mar-13,462,1-Jul-13,Operating,Not found,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_462__01.07.2013.pdf;Determination_No_41__30.10.2013.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,English,0,11.036157,106.00286
26,0101000020887F000071F537743FAA1C418746E0AD87473441,26,Zhong Jian Jin Bian Jing Ji Te Qu SEZ,Kampong Chhnang,Kampong Tralach,Ta Ches,470.28,90706000,Mr. Chan An Drew,767/13,19-Apr-13,466,22-Jul-13,Not found,2015__Infrastructure developing,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_466__22.07.2013.pdf,,17/5/2016,English,,12.022271,104.721158
27,0101000020887F00005110C44FAC5B0D416B8CCE554B0D3741,27,Sanco Cambo SEZ,Banteay Meanchey,Poipet,Phsar Kandal,66.5024,38613485,Mr. Chhour Vichet;Mr. Takahiro yamamoto,911/13,3-May-13,481,11-Sep-13,Operating,Not found,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_481__11.09.2013.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,English,0,13.653887,102.601206
28,0101000020887F00006B73390F15C32241DA11BCA9509F3241,28,Dragon King Bavet SEZ,Svay Rieng,Bavet,Prey Angkunh,106.5,40488000,Mrs. Ngov Mok,1875/12,16-Aug-12,190,25-Oct-12,Operating,2015__Infrastructure developing,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Decision_No_40__30.10.2013.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,English,0,11.038452,106.050892
29,0101000020887F00006034FCC2341620414D34728BBF2D3341,29,Sovannaphum SEZ,Kandal,Kien Svay,Samraong Thum,204.58,55792000,Not found,Not found,Not found,60,11-Feb-14,Operating,Not found,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_60__10.02.2014.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,English,0,11.369936,105.248661
30,0101000020887F00002BBA1F48847322412564519B8EA23241,30,Svay Rieng GIGA Resource SEZ,Svay Rieng,Svay Teab,Kandieng Reay,126.9018,,Not found,Not found,Not found,219,24-Jul-14,Operating,Not found,Not found,Not found,Sub_Decree_No_219__24.07.2014.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,20/8/2014,English,0,11.046266,105.957692
31,0101000020887F00002205B0ADEE3A1E4107AFF58093A33341,31,KANDAL S.E.Z,Kandal,Khsach Kandal,Prek Ampil,105,84739160,Mr. Lim Chong Soo,1143/12,4-Jun-12,Not found,Not found,Not found,2015__Infrastructure Developing,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf,,17/5/2016,English,,11.642832,104.956804
32,0101000020887F0000C1CF54BC213917410E4A31263CF43141,32,H.K.T S.E.Z,Preah Sihanouk,Prey Nob,Teuk Thla,345.2,48358802,Neak Oknha Sy Kong Triv; Oknha Hann Khien; Oknha Vinh Huor; Mrs. Feng Ying; Mr. Shen Jian Ping; Mr. Lui Bin; Mr. Li Cheng Chun Richard,1862/12,15-Aug-12,189,25-Oct-12,Not found,2015__Infrastructure Developing,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf,,17/5/2016,English,,10.642271,103.907369
